date,state,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
16/01/2021,India,48276,3455,2957,48276,0,,,,579,47697,,,,,,,,,23757,24517,2
17/01/2021,India,58604,8532,4954,58604,0,,,,635,57969,,,,,,,,,27348,31252,4
18/01/2021,India,99449,13611,6583,99449,0,,,,1299,98150,,,,,,,,,41361,58083,5
19/01/2021,India,195525,17855,7951,195525,0,,,,3017,192508,,,,,,,,,81901,113613,11
20/01/2021,India,251280,25472,10504,251280,0,,,,3946,247334,,,,,,,,,98111,153145,24
21/01/2021,India,365965,32226,12600,365965,0,,,,5367,360598,,,,,,,,,132784,233143,38
22/01/2021,India,549381,36988,14115,549381,0,,,,8128,541253,,,,,,,,,193899,355402,80
23/01/2021,India,759008,43076,15605,759008,0,,,,11192,747816,,,,,,,,,267856,491049,103
24/01/2021,India,835058,49851,18111,835058,0,,,,13156,821902,,,,,,,,,296283,538647,128
25/01/2021,India,1277104,55151,19682,1277104,0,,,,18858,1258246,,,,,,,,,444137,832766,201
26/01/2021,India,1293784,60821,21467,1293784,0,,,,19604,1274180,,,,,,,,,449119,844448,217
27/01/2021,India,1726490,69495,23737,1726490,0,,,,27377,1699113,,,,,,,,,586081,1140137,272
28/01/2021,India,2295491,78523,25610,2295491,0,,,,36921,2258570,,,,,,,,,771229,1523939,323
29/01/2021,India,2814803,83664,26219,2814803,0,,,,43604,2771199,,,,,,,,,939069,1875368,366
30/01/2021,India,3067736,87822,26643,3067736,0,,,,48300,3019436,,,,,,,,,1022380,2044950,406
31/01/2021,India,3127107,91593,27011,3127107,0,,,,58890,3068217,,,,,,,,,1061307,2065391,409
01/02/2021,India,3350265,97432,27751,3350265,0,,,,69372,3280893,,,,,,,,,1152344,2197431,490
02/02/2021,India,3527971,106461,29522,3527971,0,,,,76794,3451177,,,,,,,,,1218507,2308898,566
03/02/2021,India,3825835,116568,31167,3825835,0,,,,86001,3739834,,,,,,,,,1324273,2500887,675
04/02/2021,India,4314304,126714,32505,4314304,0,,,,99015,4215289,,,,,,,,,1504527,2809042,735
05/02/2021,India,4765924,137110,33947,4765924,0,,,,133911,4632013,,,,,,,,,1710466,3054631,827
06/02/2021,India,5111827,145121,34814,5111827,0,,,,195504,4916323,,,,,,,,,1896705,3214244,878
07/02/2021,India,5168099,153231,35778,5168099,0,,,,206130,4961969,,,,,,,,,1928947,3238273,879
08/02/2021,India,5615499,164116,36740,5615499,0,,,,290785,5324714,,,,,,,,,2211020,3403576,903
09/02/2021,India,6002474,175556,38131,6002474,0,,,,363692,5638782,,,,,,,,,2458329,3543208,937
10/02/2021,India,6462270,187224,39339,6462270,0,,,,480760,5981510,,,,,,,,,2785194,3676114,962
11/02/2021,India,6958553,197650,40332,6958553,0,,,,609108,6349445,,,,,,,,,3153649,3803908,996
12/02/2021,India,7423817,207633,40799,7423817,0,,,,740517,6683300,,,,,,,,,3504429,3918381,1007
13/02/2021,India,7708211,216559,41308,7687352,20859,,,,781304,6906048,,,,,,,,,3684053,4002279,1020
14/02/2021,India,7732278,223423,41606,7710367,21911,,,,786042,6924325,,,,,,,,,3699535,4009812,1020
15/02/2021,India,8253651,233527,42016,8111162,142489,,,,825093,7286069,,,,,,,,,3925723,4184377,1062
16/02/2021,India,8577226,245131,42859,8337600,239626,,,,841412,7496188,,,,,,,,,4044967,4291548,1085
17/02/2021,India,9023239,256706,43310,8704698,318541,,,,894555,7810143,,,,,,,,,4271486,4432078,1134
18/02/2021,India,9338267,268275,43734,8862491,475776,,,,962251,7900240,,,,,,,,,4509554,4351815,1122
19/02/2021,India,10241508,279055,44167,9523567,717941,,,,1003518,8520049,,,,,,,,,4820055,4702310,1202
20/02/2021,India,10619113,288334,44791,9734505,884608,,,,1033170,8701335,,,,,,,,,4966750,4766532,1223
21/02/2021,India,10651012,299726,45120,9757217,893795,,,,1037565,8719652,,,,,,,,,4982068,4773924,1225
22/02/2021,India,11243679,312382,45490,10069263,1174416,,,,1085940,8983323,,,,,,,,,5226538,4841511,1214
23/02/2021,India,11597768,325527,46054,10288293,1309475,,,,1120345,9167948,,,,,,,,,5389434,4897627,1232
24/02/2021,India,12042958,339617,46671,10517568,1525390,,,,1156820,9360748,,,,,,,,,5558978,4957351,1239
25/02/2021,India,12819074,352882,47068,10846192,1972882,,,,1204424,9641768,,,,,,,,,5799474,5045426,1292
26/02/2021,India,13560932,357440,47240,11141375,2419557,,,,1244235,9897140,,,,,,,,,6008758,5131299,1318
27/02/2021,India,13560983,357450,47242,11141426,2419557,,,,1244235,9897191,,,,,,,,,6008785,5131323,1318
28/02/2021,India,13561208,367595,48032,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318
01/03/2021,India,13561208,401961,50243,11141651,2419557,,,,1244273,9897378,,,,,,,,,6008960,5131373,1318
02/03/2021,India,14533954,448977,51350,11886320,2647634,,,,1277711,10608609,,,,,,,,,6462436,5422470,1414
03/03/2021,India,15383883,533253,54700,12553326,2830557,,,,1307164,11246162,,,,,,,,,6859318,5692550,1458
04/03/2021,India,16535703,613748,57418,13393538,3142165,,,,1345443,12048095,,,,,,,,,7346850,6045211,1477
05/03/2021,India,17871673,714806,59064,14415912,3455761,,,,1386898,13029014,,,,,,,,,7924084,6490255,1573
06/03/2021,India,19170828,802800,60930,15438495,3732333,,,,1434272,14004223,,,,,,,,,8488627,6948195,1673
07/03/2021,India,19288666,862720,63187,15541529,3747137,,,,1440857,14100672,,,,,,,,,8545982,6993867,1680
08/03/2021,India,21038500,923939,64854,16976138,4062362,,,,1495593,15480545,,,,,,,,,9298005,7676312,1821
09/03/2021,India,18360243,3632230,22562,14003206,4357037,,,,1619279,16739804,,,,,,,,,10044921,8313353,1967
10/03/2021,India,19538547,3712590,22885,14872785,4665762,,,,1727948,17809439,,,,,,,,,10707385,8829091,2069
11/03/2021,India,19953987,2074307,13920,15204375,4749612,,,,1755220,18197567,,,,,,,,,10937930,9013952,2103
12/03/2021,India,21772159,5428928,34489,16612019,5160140,,,,1910640,19860313,,,,,,,,,11974143,9795767,2247
13/03/2021,India,23159604,4500722,27403,17698742,5460862,,,,2010101,21148292,,,,,,,,,12747867,10409393,2342
14/03/2021,India,23317750,935045,6063,17837716,5480034,,,,2017875,21298664,,,,,,,,,12832126,10483269,2353
15/03/2021,India,25618250,6451678,40180,19766466,5851784,,,,2183445,23433592,,,,,,,,,14090723,11524956,2569
16/03/2021,India,31870745,5366679,33886,25709257,6161488,,,,2557019,29313725,,14381,,,,7822654,8321177,9549294,13993527,11713149,2581
17/03/2021,India,36496020,5183313,31807,30011328,6484692,,,,2875235,33620784,,14662,,,,7949980,9106642,12938115,16266085,13742026,3217
18/03/2021,India,38770404,5880856,38208,31952935,6817469,,,,3111700,35658703,,14777,,,,8086204,9587964,14261942,17311577,14637915,3443
19/03/2021,India,41309219,6385874,41625,34228371,7080848,,,,3332178,37977040,,14896,,,,8219288,10165734,15826268,18492473,15732206,3692
20/03/2021,India,43877868,6470646,42178,36568988,7308880,,,,3617184,40260683,,15074,,,,8358591,10766621,17426476,19688923,16876137,3928
21/03/2021,India,44645372,1919521,13892,37303458,7341914,,,,3711319,40934052,,15121,,,,8392363,10969933,17923778,20053560,17245870,4028
22/03/2021,India,47204633,7458801,49877,39612614,7592019,,,,4025733,43178899,,15234,,,,8514176,11542500,19538350,21244939,18363361,4314
23/03/2021,India,49973152,6325666,42614,42148875,7824277,,,,4418254,45554897,,15414,,,,8657263,12235178,21238556,22532413,19611896,4566
24/03/2021,India,52216237,6309312,42607,44250191,7966046,,,,4755913,47460323,,15533,,,,8770039,12809134,22652955,23602891,20642500,4800
25/03/2021,India,54589220,6810937,46395,46454700,8134520,,,,5065307,49523912,,15692,,,,8895838,13438961,24101658,24744845,21704739,5116
26/03/2021,India,57021164,7290723,49904,48749313,8271851,,,,5363425,51657738,,15827,,,,9030708,14142017,25558079,25911744,22832194,5375
27/03/2021,India,59235436,6515557,44549,50865316,8370120,,,,5581810,53653625,,15942,,,,9170702,14835024,26840911,26976551,23883153,5612
28/03/2021,India,59557120,2724106,18876,51179587,8377533,,,,5600420,53956699,,15968,,,,9191854,14951629,27017385,27137004,24036939,5644
29/03/2021,India,60183064,3614098,24773,51774289,8408775,,,,5673246,54509817,,16014,,,,9232163,15144058,27379282,27427546,24341025,5718
30/03/2021,India,61990242,6935955,45244,53429356,8560886,,,,5820234,56170007,,16112,,,,9335310,15669710,28405395,28257441,25165987,5928
31/03/2021,India,63935590,7622285,48959,55188803,8746787,,,,5979191,57956398,,16261,,,,9451326,16264001,29454352,29151242,26031409,6152
01/04/2021,India,66361722,8582019,56390,57443466,8918256,,,,6164245,60197476,,16355,,,,9557988,17615494,30250716,30321468,27115615,6383
02/04/2021,India,70090836,7771995,50714,60936753,9154083,,,,6415647,63675188,,16677,,,,9722696,19839695,31354874,32126426,28803529,6798
03/04/2021,India,73112119,8028771,53749,63743700,9368419,,,,6619593,66492525,,16891,,,,9872239,21613929,32237904,33577406,30159173,7121
04/04/2021,India,76405697,6779834,43542,66838504,9567193,,,,6880699,69524997,,17036,,,,9981005,23681718,33156019,35165269,31665721,7514
05/04/2021,India,79439889,9947093,64960,69620234,9819655,,,,7162657,72277231,,17130,,,,9988573,25457649,34154208,36559511,33052869,7854
06/04/2021,India,82065337,9341151,61096,72035640,10029697,,,,7419434,74645902,,17216,,,,9994341,27028827,34992622,37772299,34255180,8161
07/04/2021,India,87100627,8870978,58826,76671812,10428815,,,,7832533,79268093,,17424,,,,10005564,30065901,36580444,40110598,36552499,8715
08/04/2021,India,91881530,9913258,65506,80998099,10883431,,,,8167587,83713942,,17628,,,,10017087,32914036,38047027,42273620,38715200,9279
09/04/2021,India,95583419,9969009,65714,84296847,11286572,,,,8425992,87157426,,17815,,,,10050594,35088992,39137263,43929844,40357259,9744
10/04/2021,India,99069354,8710763,58594,87411872,11657482,,,,8678151,90391202,,17965,,,,10115743,37138666,40137437,45508111,41893575,10186
11/04/2021,India,102000401,9729980,63648,90111528,11888873,,,,8865852,93134548,,18061,,,,10150663,38924746,41016044,46895781,43205152,10595
12/04/2021,India,105970539,10664088,71554,93559587,12410952,,,,9117558,96852980,,18211,,,,10214478,41124841,42200133,48669828,44878560,11199
13/04/2021,India,108598289,10046908,67834,95823614,12774675,,,,9279181,99319107,,18349,,,,10261853,42580769,42960830,49885738,45926378,11498
14/04/2021,India,111913288,10786962,69832,98703696,13209592,,,,9632303,102280984,,18419,,,,10329252,44385712,43968484,51361929,47329847,11920
15/04/2021,India,114598026,9771019,66284,100853671,13744355,,,,9850203,104747822,,18511,,,,10393324,45715162,44724878,52488916,48352489,12266
16/04/2021,India,117305344,9780485,66381,102927296,14378048,,,,10178643,107126700,,18664,,,,10469609,46998499,45438828,53575244,49339504,12548
17/04/2021,India,119971369,8521217,60057,104950409,15020960,,,,10555424,109415944,,18764,,,,10546237,48281098,46102623,54647827,50289664,12918
18/04/2021,India,121207098,8395934,58212,105896430,15310668,,,,10711610,110495487,,18788,,,,10573998,48885888,46416081,55151208,50732172,13050
19/04/2021,India,124457162,10632658,73506,108178574,16278588,,,,11106751,113350410,,18896,,,,10717276,50242630,47198108,56358692,51806475,13407
20/04/2021,India,127428887,10163007,71051,110165234,17263653,,,,11515707,115913179,,18976,,,,10827001,51441470,47876178,57420010,52731510,13714
21/04/2021,India,129646105,9537781,67123,111673361,17972744,,,,11799916,117846188,,19057,,,,10889235,52371179,48391750,58217380,53441979,14002
22/04/2021,India,132754608,10459336,73933,113584269,19170339,,,,12176768,120577839,,19130,,,,10972801,53528676,49056017,59214377,54355513,14379
23/04/2021,India,135658324,9772224,68575,115461202,20197122,,,,12507127,123151196,,19246,,,,11075950,54681402,49673372,60208977,55237448,14777
24/04/2021,India,138185956,8300170,59612,117105343,21080613,,,,12775153,125410802,,19338,,,,11161742,55725179,50185235,61078797,56011474,15072
25/04/2021,India,139185173,5844983,41927,117795008,21390165,,,,12866845,126318327,,19364,,,,11194950,56163123,50403597,61442119,56337692,15197
26/04/2021,India,142524947,9725885,68905,119886252,22638695,,,,13127022,129397924,,19459,,,,11300300,57436912,51108802,62534884,57335805,15563
27/04/2021,India,144879233,9192384,65370,121263287,23615946,,,,13362545,131516688,,19521,,,,14453548,55220908,51567636,63266613,57980903,15771
28/04/2021,India,147053392,8123540,57439,122538179,24515213,,,,13636237,133417155,,19657,,,,14557937,55978822,51980128,63938524,58583701,15954
29/04/2021,India,149268772,8593203,61628,123811908,25456864,,,,13926050,135342722,,19753,,,,14666103,56743187,52384617,64611787,59183960,16161
30/04/2021,India,151998107,8996730,64042,125376952,26621155,,,,14178643,137819464,,19828,,,,14819208,57676548,52862810,65445771,59914751,16430
01/05/2021,India,153626325,8022399,56966,126328970,27297355,,,,14369918,139256407,,19850,,,,14999469,58198124,53112963,65972485,60339903,16582
02/05/2021,India,154211511,5396932,38359,126704151,27507360,,,,14417017,139794494,,19868,,,,15057167,58438144,53191783,66183753,60503747,16651
03/05/2021,India,156082136,8814219,61196,127696675,28385461,,,,14654260,141427876,,19921,,,,15352120,58901132,53426355,66737774,60942039,16862
04/05/2021,India,157750752,8034995,55739,128627919,29122833,,,,14892657,142858095,,19982,,,,15689305,59299040,53622284,67265833,61344881,17205
05/05/2021,India,159931238,8424665,58108,129730641,30200597,,,,15127348,144803890,,20041,,,,16036053,59800123,53877151,67881167,61832097,17377
06/05/2021,India,162603603,8708024,60671,131058890,31544713,,,,15424914,147178689,,20079,,,,16430428,60403154,54207909,68616643,62424602,17645
07/05/2021,India,165190000,8244108,57623,132294827,32895173,,,,15761911,149428089,,20136,,,,16856986,60927081,54493332,69304346,62972623,17858
08/05/2021,India,167493857,8362691,58214,133366482,34127375,,,,16195122,151298735,,20212,,,,17255291,61372739,54720932,69899266,63449164,18052
09/05/2021,India,168304868,5437733,39614,133854676,34450192,,,,16321015,151983853,,20234,,,,17539440,61510977,54786708,70186220,63650307,18149
10/05/2021,India,171098918,8215415,58011,135192013,35906905,,,,16727082,154371836,,20288,,,,18167977,61966293,55038117,70948079,64225501,18433
11/05/2021,India,173862643,7848368,56288,136557345,37305298,,,,17081853,156780790,,20315,,,,18768175,62460166,55307756,71722365,64816275,18705
12/05/2021,India,176045577,7572978,54605,137805245,38240332,,,,17459811,158585766,,20352,,,,19307387,62926016,55549219,72431855,65354414,18976
13/05/2021,India,178361846,7238072,52103,139087590,39274256,,,,17840229,160521617,,20415,,,,19863113,63401077,55799375,73161834,65906538,19218
14/05/2021,India,179646413,5861579,42398,139861462,39784951,,,,18087664,161558739,,20432,,,,20255885,63656217,55924598,73607113,66234957,19392
15/05/2021,India,181544536,7183448,51190,141132112,40412424,,,,18535310,163009216,,20459,,,,20902588,64076941,56126114,74324379,66787921,19812
16/05/2021,India,182251006,4278089,27979,141764335,40486671,,,,18695475,163555521,,20473,,,,21360117,64200432,56176752,74693401,67050966,19968
17/05/2021,India,183817204,8089861,48246,143090218,40726986,,,,19077536,164739599,,20512,,,,22103586,64615446,56342950,75461311,67608590,20317
18/05/2021,India,185191602,7311249,42755,144270200,40921402,,,,19407170,165784285,,20586,,,,22710882,65021417,56508521,76142110,68107465,20625
19/05/2021,India,186410600,6683984,40289,145333606,41076994,,,,19669911,166740487,,20659,,,,23325439,65340955,56636839,76761977,68550747,20882
20/05/2021,India,187886885,7547217,44986,146624652,41262233,,,,19986188,167900451,,20755,,,,24095416,65709875,56787668,77512357,69091006,21289
21/05/2021,India,189344105,7425242,42679,147893976,41450129,,,,20301735,169042095,275,20821,,,,24815544,66109139,56936352,78248902,69623495,21579
22/05/2021,India,190936859,8649098,49046,149302864,41633995,,,,20590582,170345955,322,20858,,,,25540064,66609184,57119494,79056922,70224054,21888
23/05/2021,India,191877460,5338956,30180,150180408,41697052,,,,20680782,171196318,360,20870,,,,26159678,66797754,57188219,79574984,70583303,22121
24/05/2021,India,194313920,9601152,51161,152439044,41874876,,,,20932868,173380665,387,20918,,,,27500303,67442972,57459394,80889623,71526736,22685
25/05/2021,India,196463495,9133572,46265,154384464,42079031,,,,21222896,175240154,445,20981,,,,28655080,68006383,57685358,82032580,72328742,23142
26/05/2021,India,198425615,9309344,44319,156189641,42235974,,,,21440904,176983511,1200,21016,,,,29673387,68568469,57908741,83084097,73082037,23507
27/05/2021,India,201438120,10482875,44427,159006359,42431761,,,,21732409,179703057,2654,21057,,,,31096243,69538125,58331056,84683042,74299145,24172
28/05/2021,India,204617572,11340655,44877,161951713,42665859,,,,22143306,182470401,3865,21092,,,,32704761,70491958,58711772,86374510,75552353,24850
29/05/2021,India,207796464,11069278,43049,164804095,42992369,,,,22748715,185041368,6381,21143,,,,34394210,71322705,59041286,88027641,76750999,25455
30/05/2021,India,208907723,5941306,22980,165823004,43084719,,,,22948962,185950671,8090,21166,,,,35054344,71584500,59137269,88619604,77177776,25624
31/05/2021,India,211778491,10623839,42783,168393525,43384966,,,,23442881,188324712,10898,21260,,,,36494965,72388059,59461062,90095606,78271582,26337
01/06/2021,India,214314522,9930062,38044,170640412,43674110,,,,23905095,190396381,13046,21302,,,,37657598,73158983,59772400,91381749,79231870,26793
02/06/2021,India,216858197,10324274,38535,172945950,43912247,,,,24376613,192467399,14185,21412,,,,38998815,73851872,60041595,92705952,80212651,27347
03/06/2021,India,219831571,11534619,41239,175677634,44153937,,,,25012565,194803940,15066,21470,,,,40649116,74618017,60353715,94288015,81361633,27986
04/06/2021,India,223642281,13131165,46141,179205337,44436944,,,,25581498,198045267,15516,21518,,,,42587253,75746331,60810517,96289872,82885972,29493
05/06/2021,India,227162503,12775190,45548,182451348,44711155,,,,26213604,200932620,16279,21637,,,,44490432,76694765,61200972,98143570,84277549,30229
06/06/2021,India,228624578,7228531,24346,183824958,44799620,,,,26450908,202156935,16735,21706,,,,45391190,77035519,61331191,98907905,84886553,30500
07/06/2021,India,232063488,12625429,45459,186933771,45129717,,,,27031124,205014564,17800,21820,,,,47233720,77930082,61699177,100656406,86246094,31271
08/06/2021,India,234952618,11506400,41121,189503126,45449492,,,,27571289,207362449,18880,21899,,,,48781429,78645889,62001788,102100803,87370490,31833
09/06/2021,India,238440129,11932713,42274,192669299,45770830,,,,28196184,210223401,20544,21959,,,,50952882,79344582,62293642,103888483,88748112,32704
10/06/2021,India,241846863,12035310,42414,195747476,46099387,,,,28814428,213010415,22020,21991,,,,53072899,80018155,62574015,105607170,90106724,33582
11/06/2021,India,245411955,12044221,42704,198977594,46434361,,,,29426682,215962153,23120,22027,,,,55307867,80715943,62867396,107385721,91557487,34386
12/06/2021,India,249033094,12844959,42982,202207183,46825911,,,,29975845,219032482,24767,22075,,,,57472406,81467278,63177391,109174763,92997290,35130
13/06/2021,India,250656362,7549518,22768,203705131,46951231,,,,30185294,220445754,25314,22082,,,,58561036,81756122,63296269,109979462,93690273,35396
14/06/2021,India,254653040,14048206,46924,207274441,47378599,,,,30779165,223847280,26595,22118,,,,60913444,82600503,63665384,111868784,95369557,36100
15/06/2021,India,257605528,11834657,41484,209816439,47789089,,,,31248316,226329536,27676,22127,,,,62448482,83290805,63979181,113266182,96513504,36753
16/06/2021,India,261118468,14252163,44447,212945352,48173116,,,,31695663,229393676,29129,22155,,,,64643068,83939373,64262201,114978703,97929255,37394
17/06/2021,India,264537245,13293750,42886,215944608,48592637,,,,32252129,232253523,31593,22214,,,,66811954,84514167,64514699,116630688,99275854,38066
18/06/2021,India,267951571,12991192,42760,218956863,48994708,,,,32765846,235151645,34080,22257,,,,68997968,85086167,64765494,118293011,100624989,38863
19/06/2021,India,271833642,14175307,43724,222316897,49516745,,,,33243363,238552905,37374,22308,,,,71342757,85786352,65076837,120139375,102137801,39721
20/06/2021,India,275018693,12736409,24766,225211708,49806985,,,,33448885,241530408,39400,22319,,,,73042655,86653713,65402486,121366817,103804672,40219
21/06/2021,India,283891764,35010311,68061,233288807,50602957,,,,34123378,249725103,43283,22345,,,,79130988,88034483,66002905,125704054,107542051,42702
